name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.21197577305325788,0.2549442434253721,0.1325678496868476,64.34284973144531
A0A192B1T2_9HIV1_Haddox_2018,12577,0.4350056741477377,0.8165544640877506,0.15262321144674085,74.73258972167969
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.0750523773852965,0.5798836869397952,0.13978494623655913,93.31192016601562
A0A247D711_LISMN_Stadelmann_2021,1653,0.5130266024223556,0.944722142753087,0.15060240963855423,91.35069274902344
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.4885240690377868,0.8587407332544523,0.15671641791044777,86.60649871826172
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.3724566018919029,0.09953821854643695,0.14468085106382977,86.60527801513672
A4D664_9INFA_Soh_2019,14421,0.2957372356438968,0.11166255382023953,0.13305613305613306,91.17082214355469
A4GRB6_PSEAI_Chen_2020,5004,0.6500161055320374,0.8405711382868741,0.18962075848303392,91.02559661865234
A4_HUMAN_Seuma_2022,14811,0.4617956274099334,0.8390212990517995,0.19095816464237517,66.71468353271484
AACC1_PSEAI_Dandage_2018,1801,0.3754721266042809,0.7737806355865529,0.1712707182320442,89.28068542480469
ACE2_HUMAN_Chan_2020,2223,0.22383169017685273,0.7737798957710879,0.08071748878923767,89.89033508300781
ADRB2_HUMAN_Jones_2020,7800,0.5239014870066995,0.803847811335148,0.16666666666666666,76.81987762451172
AICDA_HUMAN_Gajula_2014_3cycles,209,0.3525871734830764,0.15776821935779342,0.19047619047619047,88.91484069824219
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,0.4812130916425753,0.9367617225836883,0.48322147651006714,97.41511535644531
AMIE_PSEAE_Wrenbeck_2017,6227,0.48451965587671675,0.9574093812989348,0.1797752808988764,97.87737274169922
ANCSZ_Hobbs_2022,4670,0.5840893048241725,0.9609563587718427,0.14989293361884368,81.4455337524414
ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,0.6201096725980085,0.9397078177337288,0.3023255813953488,92.61566162109375
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170,0.28459401200530043,,0.4117647058823529,58.768436431884766
BBC1_YEAST_Tsuboyama_2023_1TG0,2069,0.5483337756329352,0.8741956229387596,0.3671497584541063,97.31828308105469
BCHB_CHLTE_Tsuboyama_2023_2KRU,1572,0.686930720664544,0.9524260149045094,0.3670886075949367,92.06346130371094
BLAT_ECOLX_Deng_2012,4996,0.5010471498805752,0.7948627770439693,0.278,94.34461975097656
BLAT_ECOLX_Firnberg_2014,4783,0.7673638015167267,0.9071975012077191,0.2818371607515658,94.30803680419922
BLAT_ECOLX_Jacquier_2013,989,0.6707183127774061,0.9045187914986726,0.18181818181818182,94.34461975097656
BLAT_ECOLX_Stiffler_2015,4996,0.7609258709571665,0.9656823222758374,0.29,94.34461975097656
BRCA1_HUMAN_Findlay_2018,1837,0.48333389141601824,0.934936376749488,0.15217391304347827,39.25905227661133
BRCA2_HUMAN_Erwood_2022_HEK293T,265,0.1516765756587008,0.9751091745428726,0.1111111111111111,38.99436950683594
C6KNH7_9INFA_Lee_2018,10754,0.4392147382265614,0.8739707343090309,0.15427509293680297,85.72306823730469
CALM1_HUMAN_Weile_2017,1813,0.20497435262213856,0.9524213969896086,0.08241758241758242,83.27376556396484
CAPSD_AAV2S_Sinai_2021,42328,0.33511221092200355,0.6574142701529473,0.1379636191826128,85.21765899658203
CAR11_HUMAN_Meitlis_2020_gof,2374,0.3505994466300844,0.7048359733726423,0.08823529411764706,70.4814682006836
CAR11_HUMAN_Meitlis_2020_lof,2395,0.4571692736429446,0.8908193830130264,0.0875,70.44123840332031
CAS9_STRP1_Spencer_2017_positive,8117,0.17040904194566375,0.8803175321725306,0.1022167487684729,87.79644775390625
CASP3_HUMAN_Roychowdhury_2020,1567,0.5428791228731735,0.925102493215832,0.20382165605095542,88.63593292236328
CASP7_HUMAN_Roychowdhury_2020,1680,0.5184241440399765,0.8066653478180095,0.14285714285714285,83.18712615966797
CATR_CHLRE_Tsuboyama_2023_2AMI,1903,0.7327718231449819,0.9166737543796141,0.18848167539267016,94.2004165649414
CBPA2_HUMAN_Tsuboyama_2023_1O6X,2068,0.8669188182935015,0.9612372446196554,0.37681159420289856,93.34833526611328
CBS_HUMAN_Sun_2020,7217,0.2948328069410724,0.8465535282018835,0.11080332409972299,91.29949188232422
CBX4_HUMAN_Tsuboyama_2023_2K28,2282,0.6082719687093803,0.9333014148468308,0.5109170305676856,94.806396484375
CCDB_ECOLI_Adkar_2012,1176,0.41478820503890945,0.7224745249656718,0.1864406779661017,95.96742248535156
CCDB_ECOLI_Tripathi_2016,1663,0.48467376011596014,0.9880442281789592,0.1317365269461078,95.96742248535156
CCR5_HUMAN_Gill_2023,6137,0.3624605126163082,0.90113696335912,0.15960912052117263,82.46289825439453
CD19_HUMAN_Klesmith_2019_FMC_singles,3761,0.26521486296712277,0.36000208937093703,0.20689655172413793,61.50908279418945
CP2C9_HUMAN_Amorosi_2021_abundance,6370,0.6339327127890974,0.9680579445621407,0.19309262166405022,93.41902160644531
CP2C9_HUMAN_Amorosi_2021_activity,6142,0.6502023094896282,0.9465724648272283,0.24227642276422764,93.41902160644531
CSN4_MOUSE_Tsuboyama_2023_1UFM,3295,0.7539844667159575,0.9446659571124618,0.4727272727272727,93.27791595458984
CUE1_YEAST_Tsuboyama_2023_2MYX,1580,0.6403883738947708,0.9066821338173923,0.3670886075949367,97.00135040283203
D7PM05_CLYGR_Somermeyer_2022,24515,0.5253524855685925,,0.21574225122349103,97.0943832397461
DLG4_HUMAN_Faure_2021,6976,0.7413969781942819,0.9763838210667337,0.3194842406876791,77.13037109375
DLG4_RAT_McLaughlin_2012,1576,0.5266196964294917,0.9779857927118356,0.10126582278481013,77.40716552734375
DN7A_SACS2_Tsuboyama_2023_1JIC,1008,0.6949053309077243,0.9652515075621662,0.43564356435643564,89.91655731201172
DNJA1_HUMAN_Tsuboyama_2023_2LO1,2264,0.8440716151163533,0.9493755450199355,0.3876651982378855,89.92707824707031
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,2915,0.5944147433712017,0.9163982254501997,0.4554794520547945,92.51258087158203
DYR_ECOLI_Nguyen_2023,2916,0.46584410057970665,0.9869233427278304,0.1780821917808219,96.318115234375
