name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt,fold,p0,T
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.1102647595490946,0.26146045645163074,0.12212943632567849,64.34284973144531,0,40.0,5.0
A0A192B1T2_9HIV1_Haddox_2018,12577,0.3695893292706405,0.818355651166182,0.15659777424483307,74.73258972167969,2,40.0,5.0
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.19888826994524236,0.6041558860134559,0.17204301075268819,93.31192016601562,2,40.0,5.0
A0A247D711_LISMN_Stadelmann_2021,1653,0.5068341132428068,0.9397356659122575,0.1566265060240964,91.35069274902344,3,40.0,5.0
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.3483081775300547,0.8633776477661725,0.1828358208955224,86.60649871826172,3,40.0,5.0
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.3394645785670443,0.12261232511563587,0.19574468085106383,86.60527801513672,1,40.0,5.0
A4D664_9INFA_Soh_2019,14421,0.20534460105222826,0.1149518262356308,0.11573111573111573,91.17082214355469,0,40.0,5.0
A4GRB6_PSEAI_Chen_2020,5004,0.6372769097320438,0.850596926993962,0.2055888223552894,91.02559661865234,4,40.0,5.0
A4_HUMAN_Seuma_2022,14811,0.43051579954779573,0.8233695052539414,0.10863697705802969,66.71468353271484,2,40.0,5.0
AACC1_PSEAI_Dandage_2018,1801,0.44354187167133774,0.8123154143073826,0.19337016574585636,89.28068542480469,1,40.0,5.0
ACE2_HUMAN_Chan_2020,2223,0.27917216109226334,0.7766919398773329,0.11659192825112108,89.89033508300781,1,40.0,5.0
ADRB2_HUMAN_Jones_2020,7800,0.3901205460974176,0.7917234535579077,0.11538461538461539,76.81987762451172,2,40.0,5.0
AICDA_HUMAN_Gajula_2014_3cycles,209,0.2655245511983376,0.9999418121427542,0.2857142857142857,88.91484069824219,4,40.0,5.0
