name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.062156851819091086,0.2652692843881889,0.11377870563674322,64.34284973144531
A0A192B1T2_9HIV1_Haddox_2018,12577,0.4133296992839553,0.8122744066064553,0.15500794912559618,74.73258972167969
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.06845572166989275,0.5791071753724527,0.12903225806451613,93.31192016601562
A0A247D711_LISMN_Stadelmann_2021,1653,0.507706445657889,0.9419562220520666,0.15060240963855423,91.35069274902344
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.4848794910029481,0.8610323348363729,0.1623134328358209,86.60649871826172
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.38050302408181663,0.10531061698030077,0.16170212765957448,86.60527801513672
A4D664_9INFA_Soh_2019,14421,0.29004537967518323,0.10781173887021898,0.13513513513513514,91.17082214355469
A4GRB6_PSEAI_Chen_2020,5004,0.6296391663582147,0.8377425437443107,0.17365269461077845,91.02559661865234
A4_HUMAN_Seuma_2022,14811,0.42092281013730265,0.8283131026328472,0.1282051282051282,66.71468353271484
AACC1_PSEAI_Dandage_2018,1801,0.36422325614527007,0.771687238172637,0.16022099447513813,89.28068542480469
ACE2_HUMAN_Chan_2020,2223,0.22101701038947283,0.7735026949733315,0.1031390134529148,89.89033508300781
ADRB2_HUMAN_Jones_2020,7800,0.5326110886266717,0.8064383882742708,0.1641025641025641,76.81987762451172
AICDA_HUMAN_Gajula_2014_3cycles,209,0.34413484938518973,0.15776850365410192,0.19047619047619047,88.91484069824219
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,0.48115336496430733,0.9369488952824739,0.4798657718120805,97.41511535644531
AMIE_PSEAE_Wrenbeck_2017,6227,0.4866963994231512,0.9574706216089661,0.18138041733547353,97.87737274169922
ANCSZ_Hobbs_2022,4670,0.5715229825789354,0.9605887358266794,0.14775160599571735,81.4455337524414
ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,0.6136476276445172,0.9437028490687417,0.27906976744186046,92.61566162109375
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,170,0.37231453154291927,,0.35294117647058826,58.768436431884766
BBC1_YEAST_Tsuboyama_2023_1TG0,2069,0.5473339739462839,0.8736407279419699,0.3671497584541063,97.31828308105469
BCHB_CHLTE_Tsuboyama_2023_2KRU,1572,0.6870794796544784,0.9521678601528047,0.37341772151898733,92.06346130371094
BLAT_ECOLX_Deng_2012,4996,0.5052768764511593,0.7972523531073121,0.28,94.34461975097656
BLAT_ECOLX_Firnberg_2014,4783,0.7665485415537913,0.9094541280865449,0.29018789144050106,94.30803680419922
BLAT_ECOLX_Jacquier_2013,989,0.6738822665172733,0.9066706440117016,0.18181818181818182,94.34461975097656
BLAT_ECOLX_Stiffler_2015,4996,0.7604576248144908,0.967230694264318,0.29,94.34461975097656
BRCA1_HUMAN_Findlay_2018,1837,0.49142646321944666,0.93575972898761,0.1358695652173913,39.25905227661133
BRCA2_HUMAN_Erwood_2022_HEK293T,265,0.20414307638736637,0.9798122531986738,0.1111111111111111,38.99436950683594
C6KNH7_9INFA_Lee_2018,10754,0.44870451831333874,0.8764080391968246,0.16821561338289961,85.72306823730469
CALM1_HUMAN_Weile_2017,1813,0.20265487940324572,0.9529644645338701,0.1043956043956044,83.27376556396484
CAPSD_AAV2S_Sinai_2021,42328,0.33549953151393225,0.6598289595338906,0.14764942121426883,85.21765899658203
CAR11_HUMAN_Meitlis_2020_gof,2374,0.36228867761025685,0.7062869692352036,0.09243697478991597,70.4814682006836
